Symbol,Date,Open,High,Low,Close,Volume
XEG.TO,27-Apr-2018,12.74,12.82,12.63,12.65,1202304
XEH.TO,27-Apr-2018,25.03,25.06,25,25.05,3084
XEI.TO,27-Apr-2018,20.64,20.64,20.6,20.61,23527
XEM.TO,27-Apr-2018,33.97,33.97,33.79,33.92,1497
XEN.TO,27-Apr-2018,24.72,24.72,24.72,24.72,813
XEU.TO,27-Apr-2018,25.13,25.13,25.04,25.04,2136
XFA.TO,27-Apr-2018,27.45,27.45,27.45,27.45,500
XFC.TO,27-Apr-2018,24.62,24.62,24.62,24.62,5026
XFF.TO,27-Apr-2018,25.93,25.93,25.92,25.92,200
XFH.TO,27-Apr-2018,23.24,23.27,23.24,23.27,13833
XFI.TO,27-Apr-2018,25.05,25.05,25.05,25.05,0
XFN.TO,27-Apr-2018,37.04,37.22,37.04,37.21,138705
XFR.TO,27-Apr-2018,20.14,20.14,20.14,20.14,368465
XFS.TO,27-Apr-2018,26.44,26.44,26.44,26.44,1700
XGB.TO,27-Apr-2018,21.07,21.11,21.07,21.09,14335
XGD.TO,27-Apr-2018,12,12.03,11.97,12,119227
XGI.TO,27-Apr-2018,32.46,32.46,32.46,32.46,0
XHB.TO,27-Apr-2018,20.28,20.31,20.28,20.31,851
XHC.TO,27-Apr-2018,44.02,44.25,44.02,44.25,329
XHD.TO,27-Apr-2018,27.37,27.48,27.37,27.48,5500
XHU.TO,27-Apr-2018,22.49,22.49,22.49,22.49,2050
XHY.TO,27-Apr-2018,19.18,19.23,19.18,19.2,2811
XIC.TO,27-Apr-2018,24.88,24.93,24.86,24.92,125179
XID.TO,27-Apr-2018,35.5,35.5,35.5,35.5,776
XIG.TO,27-Apr-2018,22.29,22.29,22.29,22.29,0
XIN.TO,27-Apr-2018,26.48,26.54,26.44,26.52,21052
XIT.TO,27-Apr-2018,17.74,17.78,17.73,17.78,3368
XIU.TO,27-Apr-2018,23.3,23.35,23.27,23.32,1390766
XLB.TO,27-Apr-2018,23.24,23.32,23.24,23.32,1005
XMA.TO,27-Apr-2018,13.11,13.13,13.11,13.13,2381
XMC.TO,27-Apr-2018,18.83,18.83,18.83,18.83,0
XMD.TO,27-Apr-2018,25.17,25.17,25.15,25.15,2511
XMF.A.TO,27-Apr-2018,0.36,0.36,0.36,0.36,0
XMF.PR.B.TO,27-Apr-2018,5.21,5.21,5.2,5.2,2500
XMF.PR.C.TO,27-Apr-2018,2.2,2.2,2.2,2.2,1900
XMH.TO,27-Apr-2018,18.61,18.61,18.61,18.61,306
XMI.TO,27-Apr-2018,36.78,36.78,36.68,36.73,2079
XML.TO,27-Apr-2018,22.76,22.76,22.76,22.76,0
XMM.TO,27-Apr-2018,28.55,28.65,28.55,28.65,1904
XMS.TO,27-Apr-2018,23.29,23.29,23.29,23.29,0
XMU.TO,27-Apr-2018,45.65,45.65,45.65,45.65,221
XMV.TO,27-Apr-2018,28.5,28.5,28.5,28.5,392
XMW.TO,27-Apr-2018,38.52,38.52,38.52,38.52,0
XPF.TO,27-Apr-2018,17.86,17.94,17.86,17.94,2714
XQB.TO,27-Apr-2018,20.15,20.16,20.13,20.16,14475
XQQ.TO,27-Apr-2018,54.89,55,54,54.36,25304
XRB.TO,27-Apr-2018,23.98,24.07,23.97,24.07,6061
XRE.TO,27-Apr-2018,16.43,16.57,16.43,16.56,70197
XSB.TO,27-Apr-2018,27.2,27.22,27.2,27.22,19785
XSC.TO,27-Apr-2018,19.6,19.6,19.58,19.58,1700
XSE.TO,27-Apr-2018,19.7,19.72,19.68,19.69,11983
XSH.TO,27-Apr-2018,18.97,18.98,18.97,18.98,38677
XSI.TO,27-Apr-2018,18.93,18.93,18.9,18.9,2800
XSP.TO,27-Apr-2018,30.33,30.37,30.2,30.3,236108
XSQ.TO,27-Apr-2018,19.21,19.21,19.21,19.21,2311
XST.TO,27-Apr-2018,53,53.02,53,53.02,2904
XSU.TO,27-Apr-2018,33.11,33.14,32.85,32.94,27351
XTC.TO,27-Apr-2018,10.01,10.17,9.95,10.03,27881
XTD.TO,27-Apr-2018,6.23,6.25,6.23,6.24,1600
XTD.PR.A.TO,27-Apr-2018,10.08,10.08,10.08,10.08,0
XTG.TO,27-Apr-2018,0.26,0.26,0.26,0.26,0
XTR.TO,27-Apr-2018,11.01,11.04,11.01,11.04,56421
XUH.TO,27-Apr-2018,24.91,24.91,24.91,24.91,0
XUS.TO,27-Apr-2018,43.08,43.1,42.85,43.06,26710
XUT.TO,27-Apr-2018,21.12,21.14,21.12,21.14,249
XUU.TO,27-Apr-2018,26.64,26.64,26.42,26.54,28760
XWD.TO,27-Apr-2018,49.38,49.38,49.13,49.29,17952
XXM.TO,27-Apr-2018,12.88,12.88,12.72,12.73,972
XXM.B.TO,27-Apr-2018,16.34,16.35,16.31,16.35,1826
Y.TO,27-Apr-2018,6.87,6.88,6.78,6.83,1119
YCM.PR.A.TO,27-Apr-2018,5.08,5.08,5.08,5.08,1100
YCM.PR.B.TO,27-Apr-2018,5.04,5.04,5.04,5.04,1500
YGR.TO,27-Apr-2018,6.23,6.44,6.14,6.42,268736
YPG.DB.TO,27-Apr-2018,87,92,85,92,1456
YRB.TO,27-Apr-2018,0.04,0.04,0.04,0.04,21800
YRI.TO,27-Apr-2018,3.8,3.9,3.8,3.89,1905133
YXM.TO,27-Apr-2018,14.75,14.75,14.75,14.75,0
YXM.B.TO,27-Apr-2018,19.05,19.14,19.05,19.14,1900
ZAG.TO,27-Apr-2018,15.23,15.23,15.23,15.23,4534
ZAR.TO,27-Apr-2018,0.5,0.5,0.5,0.5,61002
ZAR.DB.A.TO,27-Apr-2018,78.5,78.5,78.5,78.5,0
ZBK.TO,27-Apr-2018,27.68,28.03,27.68,28,11657
ZCH.TO,27-Apr-2018,26.84,26.92,26.66,26.78,4027
ZCL.TO,27-Apr-2018,12.2,12.21,12.11,12.14,10505
ZCM.TO,27-Apr-2018,15.83,15.85,15.83,15.85,8769
ZCN.TO,27-Apr-2018,21.11,21.17,21.11,21.16,42852
ZCS.TO,27-Apr-2018,14,14,13.99,14,2196
ZDB.TO,27-Apr-2018,15.47,15.51,15.47,15.51,19952
ZDH.TO,27-Apr-2018,22.86,22.92,22.86,22.9,11300
ZDI.TO,27-Apr-2018,22.71,22.73,22.63,22.63,10376
ZDJ.TO,27-Apr-2018,41.13,41.16,40.97,41.13,24438
ZDM.TO,27-Apr-2018,21.72,21.72,21.62,21.68,4287
ZDV.TO,27-Apr-2018,16.56,16.57,16.52,16.57,26814
ZDY.TO,27-Apr-2018,30.01,30.27,30.01,30.27,4370
ZDY.U.TO,27-Apr-2018,24.13,24.13,24.13,24.13,2000
ZEA.TO,27-Apr-2018,19.21,19.24,19.18,19.24,5533
ZEB.TO,27-Apr-2018,28.54,28.65,28.53,28.64,576544
ZEF.TO,27-Apr-2018,15.9,15.9,15.9,15.9,335
ZEM.TO,27-Apr-2018,21.25,21.25,21.15,21.25,75840
ZEO.TO,27-Apr-2018,10.82,10.89,10.77,10.79,77321
ZEQ.TO,27-Apr-2018,19.75,19.82,19.73,19.8,6686
ZEUS.TO,27-Apr-2018,21.39,21.39,21.39,21.39,348
ZFH.TO,27-Apr-2018,15.34,15.34,15.22,15.3,2926
ZFL.TO,27-Apr-2018,16.81,16.81,16.81,16.81,0
ZFM.TO,27-Apr-2018,15.74,15.76,15.74,15.76,11685
ZFS.TO,27-Apr-2018,14.08,14.08,14.08,14.08,0
ZGD.TO,27-Apr-2018,9.18,9.18,9.18,9.18,0
ZGI.TO,27-Apr-2018,33.06,33.12,33.06,33.12,725
ZGQ.TO,27-Apr-2018,29.87,29.9,29.87,29.9,1645
ZHP.TO,27-Apr-2018,24.1,24.1,24.1,24.1,100
ZHY.TO,27-Apr-2018,13.88,13.88,13.83,13.83,11519
ZIC.TO,27-Apr-2018,17.64,17.64,17.64,17.64,4859
ZID.TO,27-Apr-2018,23.73,24,23.73,24,980
ZIN.TO,27-Apr-2018,27.07,27.07,27.07,27.07,480
ZJG.TO,27-Apr-2018,9.09,9.15,9.09,9.15,6304
